Eta;BPHit;NxDetHits (s_R:s_Z:X/X0@Eta)
0.00;15.6:59587.6:12.992391
0.00;15.6:19862.5:4.330797
0.00;15.6:11917.5:2.598479
0.00;15.6:8512.5:1.856057
0.00;15.6:6620.8:1.443600
0.00;15.6:5417.0:1.181128
0.00;15.6:4583.6:0.999417
0.00;15.6:3972.5:0.866162
0.00;15.6:3505.1:0.764261
0.00;15.6:3136.2:0.683813
0.01;15.6:2837.5:0.618688
0.01;15.6:2590.7:0.564890
0.01;15.6:2383.5:0.519699
0.01;15.6:2206.9:0.481204
0.01;15.6:2054.7:0.448018
0.01;15.6:1922.1:0.419114
0.01;15.6:1805.6:0.393714
0.01;15.6:1702.5:0.371216
0.01;15.6:1610.4:0.351151
0.01;15.6:1527.8:0.333144
0.01;15.6:1453.3:0.316894
0.01;15.6:1385.7:0.302155
0.01;15.6:1324.1:0.288726
0.01;15.6:1267.8:0.276441
0.01;15.6:1216.0:0.265158
0.01;15.6:1168.3:0.254760
0.01;15.6:1124.2:0.245147
0.01;15.6:1083.3:0.236233
0.01;15.6:1045.3:0.227945
0.02;15.6:1009.9:0.220219
0.02;15.6:976.8:0.212999
0.02;15.6:945.7:0.206238
0.02;15.6:916.6:0.199893
0.02;15.6:889.3:0.193926
0.02;15.6:863.5:0.188306
0.02;15.6:839.2:0.183002
0.02;15.6:816.2:0.177989
0.02;15.6:794.4:0.173243
0.02;15.6:773.8:0.168744
0.02;15.6:754.2:0.164472
0.02;15.6:735.5:0.160412
0.02;15.6:717.8:0.156547
0.02;15.6:700.9:0.152864
0.02;15.6:684.8:0.149351
0.02;15.6:669.4:0.145995
0.02;15.6:654.7:0.142787
0.02;15.6:640.6:0.139717
0.02;15.6:627.1:0.136776
0.03;15.6:614.2:0.133957
0.03;15.6:601.8:0.131251
0.03;15.6:589.8:0.128653
0.03;15.6:578.4:0.126155
0.03;15.6:567.4:0.123753
0.03;15.6:556.7:0.121440
0.03;15.6:546.5:0.119212
0.03;15.6:536.7:0.117065
0.03;15.6:527.2:0.114994
0.03;15.6:518.0:0.112994
0.03;15.6:509.1:0.111063
0.03;15.6:500.6:0.109197
0.03;15.6:492.3:0.107393
0.03;15.6:484.3:0.105647
0.03;15.6:476.5:0.103958
0.03;15.6:469.0:0.102321
0.03;15.6:461.7:0.100735
0.03;15.6:454.7:0.099198
0.03;15.6:447.8:0.097707
0.04;15.6:441.2:0.096260
0.04;15.6:434.8:0.094855
0.04;15.6:428.5:0.093491
0.04;15.6:422.4:0.092166
0.04;15.6:416.5:0.090877
0.04;15.6:410.8:0.089624
0.04;15.6:405.2:0.088405
0.04;15.6:399.7:0.087219
0.04;15.6:394.4:0.086065
0.04;15.6:389.3:0.084940
0.04;15.6:384.2:0.083845
0.04;15.6:379.3:0.082777
0.04;15.6:374.5:0.081737
0.04;15.6:369.9:0.080722
0.04;15.6:365.3:0.079732
0.04;15.6:360.9:0.078766
0.04;15.6:356.6:0.077824
0.04;15.6:352.4:0.076903
0.04;15.6:348.2:0.076004
0.05;15.6:344.2:0.075126
0.05;15.6:340.3:0.074268
0.05;15.6:336.4:0.073430
0.05;15.6:332.6:0.072610
0.05;15.6:329.0:0.071808
0.05;15.6:325.4:0.071024
0.05;15.6:321.8:0.070257
0.05;15.6:318.4:0.069506
0.05;15.6:315.0:0.068771
0.05;15.6:311.7:0.068051
0.05;15.6:308.5:0.067347
0.05;15.6:305.3:0.066657
0.05;15.6:302.2:0.065980
0.05;15.6:299.2:0.065318
0.05;15.6:296.2:0.064669
0.05;15.6:293.3:0.064032
0.05;15.6:290.4:0.063408
0.05;15.6:287.6:0.062796
0.05;15.6:284.8:0.062196
0.06;15.6:282.1:0.061607
0.06;15.6:279.5:0.061029
0.06;15.6:276.9:0.060462
0.06;15.6:274.3:0.059905
0.06;15.6:271.8:0.059359
0.06;15.6:269.3:0.058822
0.06;15.6:266.9:0.058295
0.06;15.6:264.5:0.057777
0.06;15.6:262.2:0.057269
0.06;15.6:259.9:0.056769
0.06;15.6:257.6:0.056278
0.06;15.6:255.4:0.055796
0.06;15.6:253.2:0.055322
0.06;15.6:251.1:0.054855
0.06;15.6:249.0:0.054397
0.06;15.6:246.9:0.053946
0.06;15.6:244.9:0.053503
0.06;15.6:242.9:0.053067
0.06;15.6:240.9:0.052637
0.07;15.6:239.0:0.052215
0.07;15.6:237.1:0.051800
0.07;15.6:235.2:0.051391
0.07;15.6:233.3:0.050988
0.07;15.6:231.5:0.050592
0.07;15.6:229.7:0.050202
0.07;15.6:227.9:0.049818
0.07;15.6:226.2:0.049440
0.07;15.6:224.5:0.049067
0.07;15.6:222.8:0.048700
0.07;15.6:221.1:0.048339
0.07;15.6:219.5:0.047983
0.07;15.6:217.9:0.047632
0.07;15.6:216.3:0.047286
0.07;15.6:214.7:0.046945
0.07;15.6:213.2:0.046609
0.07;15.6:211.7:0.046278
0.07;15.6:210.2:0.045952
0.07;15.6:208.7:0.045630
0.08;15.6:207.2:0.045312
